                 LAT,                 LON,
          +329834003,         -1172650575,
          +329834045,         -1172650572,
          +329834087,         -1172650568,
          +329834130,         -1172650565,
          +329834172,         -1172650562,
          +329834214,         -1172650559,
          +329834256,         -1172650555,
          +329834298,         -1172650552,
          +329834341,         -1172650549,
          +329834383,         -1172650545,
          +329834425,         -1172650542,
          +329834467,         -1172650539,
          +329834510,         -1172650536,
          +329834552,         -1172650532,
          +329834594,         -1172650529,
          +329834745,         -1172650318,
          +329834784,         -1172650269,
          +329834849,         -1172650227,
          +329834910,         -1172650199,
          +329834986,         -1172650166,
          +329835064,         -1172650105,
          +329835122,         -1172650060,
          +329835204,         -1172650007,
          +329835307,         -1172649958,
          +329835405,         -1172649914,
          +329835506,         -1172649860,
          +329835680,         -1172649766,
          +329835877,         -1172649654,
          +329835993,         -1172649606,
          +329836094,         -1172649570,
          +329836173,         -1172649541,
          +329836159,         -1172649558,
          +329836046,         -1172649607,
          +329835940,         -1172649661,
          +329835862,         -1172649707,
          +329835791,         -1172649768,
          +329835734,         -1172649810,
          +329835680,         -1172649848,
          +329835635,         -1172649879,
          +329835595,         -1172649900,
          +329835554,         -1172649916,
          +329835493,         -1172649942,
          +329835432,         -1172649959,
          +329835346,         -1172649990,
          +329835265,         -1172650035,
          +329835175,         -1172650115,
          +329835085,         -1172650223,
          +329835049,         -1172650321,
          +329834991,         -1172650440,
          +329834942,         -1172650537,
          +329834897,         -1172650629,
          +329834863,         -1172650721,
          +329834830,         -1172650802,
          +329834779,         -1172650888,
          +329834730,         -1172650970,
          +329834670,         -1172651053,
          +329834601,         -1172651103,
          +329834538,         -1172651101,
          +329834493,         -1172651059,
          +329834482,         -1172651005,
          +329834487,         -1172650962,
          +329834498,         -1172650921,
          +329834518,         -1172650864,
          +329834524,         -1172650812,
          +329834544,         -1172650765,
          +329834556,         -1172650711,
          +329834560,         -1172650652,
          +329834561,         -1172650572,
          +329834555,         -1172650480,
          +329834556,         -1172650383,
          +329834553,         -1172650284,
          +329834531,         -1172650158,
          +329834520,         -1172650060,
          +329834540,         -1172649996,
          +329834557,         -1172649941,
          +329834576,         -1172649887,
          +329834591,         -1172649843,
          +329834605,         -1172649804,
          +329834620,         -1172649763,
          +329834627,         -1172649709,
          +329834630,         -1172649660,
          +329834635,         -1172649614,
          +329834642,         -1172649544,
          +329834654,         -1172649467,
          +329834674,         -1172649373,
          +329834681,         -1172649298,
          +329834696,         -1172649212,
          +329834717,         -1172649141,
          +329834737,         -1172649080,
          +329834741,         -1172649019,
          +329834719,         -1172648951,
          +329834673,         -1172648903,
          +329834607,         -1172648880,
          +329834517,         -1172648899,
          +329834452,         -1172648945,
          +329834421,         -1172649007,
          +329834405,         -1172649082,
          +329834397,         -1172649168,
          +329834383,         -1172649250,
          +329834368,         -1172649331,
          +329834365,         -1172649398,
          +329834360,         -1172649457,
          +329834346,         -1172649535,
          +329834331,         -1172649625,
          +329834319,         -1172649708,
          +329834309,         -1172649798,
          +329834290,         -1172649896,
          +329834271,         -1172649994,
          +329834251,         -1172650083,
          +329834230,         -1172650166,
          +329834217,         -1172650242,
          +329834214,         -1172650321,
          +329834203,         -1172650408,
          +329834183,         -1172650491,
          +329834162,         -1172650570,
          +329834135,         -1172650639,
          +329834104,         -1172650710,
          +329834068,         -1172650784,
          +329834030,         -1172650848,
          +329833991,         -1172650915,
          +329833953,         -1172650995,
          +329833939,         -1172651079,
          +329833952,         -1172651160,
          +329833988,         -1172651228,
          +329834050,         -1172651256,
          +329834107,         -1172651237,
          +329834136,         -1172651184,
          +329834142,         -1172651127,
          +329834146,         -1172651069,
          +329834138,         -1172651017,
          +329834123,         -1172650967,
          +329834125,         -1172650907,
          +329834141,         -1172650849,
          +329834162,         -1172650811,
          +329834196,         -1172650771,
          +329834215,         -1172650714,
          +329834222,         -1172650634,
          +329834234,         -1172650542,
          +329834254,         -1172650451,
          +329834256,         -1172650377,
          +329834250,         -1172650308,
          +329834239,         -1172650237,
          +329834214,         -1172650158,
          +329834181,         -1172650085,
          +329834144,         -1172650020,
          +329834109,         -1172649956,
          +329834087,         -1172649898,
          +329834066,         -1172649836,
          +329834034,         -1172649770,
          +329833990,         -1172649701,
          +329833929,         -1172649629,
          +329833873,         -1172649559,
          +329833873,         -1172649516,
          +329833914,         -1172649507,
          +329833959,         -1172649494,
          +329834009,         -1172649458,
          +329834052,         -1172649408,
          +329834086,         -1172649357,
          +329834120,         -1172649290,
          +329834141,         -1172649206,
          +329834135,         -1172649138,
          +329834097,         -1172649097,
          +329834043,         -1172649073,
          +329833984,         -1172649086,
          +329833945,         -1172649135,
          +329833930,         -1172649221,
          +329833923,         -1172649312,
          +329833926,         -1172649401,
          +329833933,         -1172649480,
          +329833931,         -1172649561,
          +329833938,         -1172649641,
          +329833965,         -1172649712,
          +329833991,         -1172649781,
          +329834014,         -1172649847,
          +329834019,         -1172649920,
          +329834016,         -1172649996,
          +329834017,         -1172650070,
          +329834005,         -1172650152,
          +329833993,         -1172650231,
          +329833989,         -1172650307,
          +329833977,         -1172650384,
          +329833949,         -1172650453,
          +329833930,         -1172650520,
          +329833922,         -1172650595,
          +329833913,         -1172650674,
          +329833912,         -1172650748,
          +329833908,         -1172650825,
          +329833905,         -1172650898,
          +329833894,         -1172650964,
          +329833860,         -1172651024,
          +329833817,         -1172651083,
          +329833775,         -1172651143,
          +329833733,         -1172651206,
          +329833704,         -1172651280,
          +329833696,         -1172651363,
          +329833734,         -1172651432,
          +329833810,         -1172651472,
          +329833888,         -1172651471,
          +329833930,         -1172651433,
          +329833955,         -1172651370,
          +329833969,         -1172651295,
          +329833957,         -1172651233,
          +329833914,         -1172651192,
          +329833872,         -1172651145,
          +329833908,         -1172651026,
          +329833964,         -1172650971,
          +329834014,         -1172650929,
          +329834077,         -1172650893,
          +329834132,         -1172650882,
          +329834174,         -1172650872,
          +329834206,         -1172650852,
          +329834242,         -1172650827,
          +329834266,         -1172650819,
          +329834298,         -1172650829,
          +329834347,         -1172650842,
          +329834396,         -1172650863,
          +329834426,         -1172650871,
          +329834437,         -1172650858,
          +329834458,         -1172650843,
          +329834482,         -1172650837,
          +329834505,         -1172650852,
          +329834534,         -1172650876,
          +329834566,         -1172650888,
          +329834592,         -1172650886,
          +329834606,         -1172650891,
          +329834618,         -1172650888,
          +329834616,         -1172650892,
          +329834611,         -1172650889,
          +329834610,         -1172650894,
          +329834620,         -1172650878,
          +329834622,         -1172650868,
          +329834621,         -1172650878,
          +329834625,         -1172650884,
          +329834631,         -1172650895,
          +329834627,         -1172650912,
          +329834623,         -1172650920,
          +329834615,         -1172650927,
          +329834616,         -1172650901,
          +329834625,         -1172650842,
          +329834633,         -1172650781,
          +329834641,         -1172650725,
          +329834643,         -1172650696,
          +329834649,         -1172650637,
          +329834644,         -1172650615,
          +329834642,         -1172650583,
          +329834639,         -1172650541,
          +329834627,         -1172650528,
          +329834608,         -1172650539,
          +329834590,         -1172650547,
          +329834581,         -1172650539,
          +329834567,         -1172650553,
          +329834554,         -1172650557,
          +329834538,         -1172650575,
          +329834522,         -1172650587,
          +329834508,         -1172650586,
          +329834490,         -1172650601,
          +329834472,         -1172650619,
          +329834452,         -1172650641,
          +329834430,         -1172650662,
          +329834406,         -1172650692,
          +329834381,         -1172650720,
          +329834354,         -1172650754,
          +329834345,         -1172650764,
          +329834343,         -1172650769,
          +329834342,         -1172650763,
          +329834310,         -1172650805,
          +329834267,         -1172650867,
          +329834222,         -1172650938,
          +329834174,         -1172651005,
          +329834132,         -1172651059,
          +329834081,         -1172651125,
          +329834023,         -1172651208,
          +329833962,         -1172651293,
          +329833891,         -1172651395,
          +329833833,         -1172651486,
